epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4541,0,16.0697,0,0,0,0,0,0,1.29492,0,0,0,0
2,43.3818,0,16.1168,0,0,0,0,0,0,1.29492,0,8.19009e-06,8.19009e-06,8.19009e-06
3,44.3762,0,16.0167,0,0,0,0,0,0,1.29492,0,1.45804e-05,1.45804e-05,1.45804e-05
4,45.6193,0,16.0432,0,0,0,0,0,0,1.29492,0,1.91708e-05,1.91708e-05,1.91708e-05
5,46.4065,0,15.9688,0,0,0,0,0,0,1.29492,0,2.19614e-05,2.19614e-05,2.19614e-05
6,47.0988,0,15.9816,0,0,0,0,0,0,1.29297,0,2.29523e-05,2.29523e-05,2.29523e-05
7,47.7752,0,15.9051,0,0,0,0,0,0,1.29297,0,2.21432e-05,2.21432e-05,2.21432e-05
8,48.4804,0,15.9224,0,0,0,0,0,0,1.29199,0,1.95344e-05,1.95344e-05,1.95344e-05
9,49.1691,0,15.9029,0,0,0,0,0,0,1.29199,0,1.51258e-05,1.51258e-05,1.51258e-05
10,49.8725,0,15.8794,0,0,0,0,0,0,1.29199,0,8.91729e-06,8.91729e-06,8.91729e-06
