2024-12-02 23:30:06,271 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-12-02 23:30:06,272 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Configure stats pid to 1804
2024-12-02 23:30:06,272 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Loading settings from C:\Users\ruy_pa_\.config\wandb\settings
2024-12-02 23:30:06,272 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Loading settings from C:\Users\ruy_pa_\OneDrive - ptit.edu.vn\do_an_2024\YOLO\app\wandb\settings
2024-12-02 23:30:06,272 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'app.py', 'program_abspath': 'c:\\Users\\ruy_pa_\\OneDrive - ptit.edu.vn\\do_an_2024\\YOLO\\app\\app.py', 'program': 'c:\\Users\\ruy_pa_\\OneDrive - ptit.edu.vn\\do_an_2024\\YOLO\\app\\app.py'}
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_setup.py:_flush():79] Applying login settings: {'mode': 'offline'}
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\ruy_pa_\OneDrive - ptit.edu.vn\do_an_2024\YOLO\app\wandb\offline-run-20241202_233006-2qhz1fco\logs\debug.log
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\ruy_pa_\OneDrive - ptit.edu.vn\do_an_2024\YOLO\app\wandb\offline-run-20241202_233006-2qhz1fco\logs\debug-internal.log
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():619] calling init triggers
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'task': 'detect', 'mode': 'train', 'model': 'static/yolov8n.pt', 'data': 'static/7ca3ece3-66d5-40bd-9760-17dd93cf16c8/config.yaml', 'epochs': 10, 'time': None, 'patience': 100, 'batch': 4, 'imgsz': 640, 'save': True, 'save_period': -1, 'cache': False, 'device': 0, 'workers': 8, 'project': None, 'name': 'train16', 'exist_ok': False, 'pretrained': True, 'optimizer': 'auto', 'verbose': True, 'seed': 0, 'deterministic': True, 'single_cls': False, 'rect': False, 'cos_lr': False, 'close_mosaic': 10, 'resume': False, 'amp': True, 'fraction': 1.0, 'profile': False, 'freeze': None, 'multi_scale': False, 'overlap_mask': True, 'mask_ratio': 4, 'dropout': 0.0, 'val': True, 'split': 'val', 'save_json': False, 'save_hybrid': False, 'conf': None, 'iou': 0.7, 'max_det': 300, 'half': False, 'dnn': False, 'plots': True, 'source': None, 'vid_stride': 1, 'stream_buffer': False, 'visualize': False, 'augment': False, 'agnostic_nms': False, 'classes': None, 'retina_masks': False, 'embed': None, 'show': False, 'save_frames': False, 'save_txt': False, 'save_conf': False, 'save_crop': False, 'show_labels': True, 'show_conf': True, 'show_boxes': True, 'line_width': None, 'format': 'torchscript', 'keras': False, 'optimize': False, 'int8': False, 'dynamic': False, 'simplify': True, 'opset': None, 'workspace': None, 'nms': False, 'lr0': 0.01, 'lrf': 0.01, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 7.5, 'cls': 0.5, 'dfl': 1.5, 'pose': 12.0, 'kobj': 1.0, 'nbs': 64, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'bgr': 0.0, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'copy_paste_mode': 'flip', 'auto_augment': 'randaugment', 'erasing': 0.4, 'crop_fraction': 1.0, 'cfg': None, 'tracker': 'botsort.yaml', 'save_dir': 'runs\\detect\\train16'}
2024-12-02 23:30:06,273 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():669] starting backend
2024-12-02 23:30:06,274 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():673] sending inform_init request
2024-12-02 23:30:06,283 INFO    Thread-35 (add_model_with_logging):1804 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-02 23:30:06,293 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():686] backend started and connected
2024-12-02 23:30:06,305 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():781] updated telemetry
2024-12-02 23:30:06,373 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-02 23:30:07,289 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():867] starting run threads in backend
2024-12-02 23:30:08,735 INFO    Thread-35 (add_model_with_logging):1804 [wandb_run.py:_console_start():2451] atexit reg
2024-12-02 23:30:08,735 INFO    Thread-35 (add_model_with_logging):1804 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-12-02 23:30:08,736 INFO    Thread-35 (add_model_with_logging):1804 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-12-02 23:30:08,736 INFO    Thread-35 (add_model_with_logging):1804 [wandb_run.py:_redirect():2389] Redirects installed.
2024-12-02 23:30:08,742 INFO    Thread-35 (add_model_with_logging):1804 [wandb_init.py:init():911] run started, returning control to user process
